iter	Passed	Remaining
437	1347	1729
438	1350	1725
439	1353	1722
440	1355	1718
441	1358	1715
442	1361	1711
443	1363	1707
444	1366	1704
445	1369	1700
446	1371	1697
447	1374	1693
448	1377	1690
449	1379	1686
450	1382	1683
451	1385	1679
452	1388	1676
453	1390	1672
454	1393	1668
455	1396	1665
456	1399	1662
457	1401	1658
458	1404	1655
459	1406	1651
460	1409	1648
461	1413	1645
462	1415	1641
463	1418	1638
464	1421	1634
465	1423	1631
466	1426	1627
467	1429	1624
468	1431	1620
469	1434	1617
470	1437	1614
471	1439	1610
472	1442	1607
473	1445	1603
474	1447	1600
475	1450	1596
476	1453	1593
477	1456	1590
478	1458	1586
479	1461	1582
480	1463	1579
481	1466	1575
482	1469	1572
483	1471	1568
484	1474	1565
485	1477	1562
486	1479	1558
487	1482	1555
488	1485	1552
489	1488	1548
490	1490	1545
491	1493	1541
492	1495	1538
493	1498	1534
494	1501	1531
495	1503	1527
496	1506	1524
497	1508	1520
498	1511	1517
499	1514	1514
500	1516	1510
501	1519	1506
502	1521	1503
503	1524	1500
504	1526	1496
505	1529	1493
506	1532	1489
507	1534	1486
508	1537	1482
509	1539	1479
510	1542	1475
511	1545	1473
512	1548	1470
513	1551	1466
514	1554	1463
515	1556	1460
516	1559	1456
517	1561	1453
518	1564	1449
519	1566	1446
520	1569	1442
521	1571	1439
522	1574	1436
523	1577	1432
524	1580	1429
525	1582	1426
526	1585	1422
527	1587	1419
528	1590	1416
529	1592	1412
530	1595	1409
531	1598	1405
532	1600	1402
533	1603	1399
534	1606	1396
535	1608	1392
536	1611	1389
537	1614	1386
538	1616	1382
539	1619	1379
540	1622	1376
541	1624	1372
542	1627	1369
543	1629	1366
544	1632	1362
545	1634	1359
546	1637	1356
547	1640	1352
548	1642	1349
549	1645	1345
550	1647	1342
551	1650	1339
552	1652	1335
553	1655	1332
554	1657	1329
555	1660	1325
556	1662	1322
557	1665	1318
558	1667	1315
559	1670	1312
560	1672	1309
561	1675	1305
562	1677	1302
563	1680	1298
564	1682	1295
565	1685	1292
566	1687	1288
567	1690	1285
568	1692	1282
569	1695	1278
570	1698	1275
571	1700	1272
572	1703	1269
573	1705	1265
574	1708	1262
575	1710	1259
576	1713	1256
577	1716	1253
578	1718	1249
579	1721	1246
580	1723	1243
581	1726	1239
582	1728	1236
583	1731	1233
584	1733	1230
585	1736	1226
586	1738	1223
587	1741	1220
588	1744	1216
589	1746	1213
590	1749	1210
591	1751	1207
592	1754	1203
593	1756	1200
594	1759	1197
595	1761	1194
596	1764	1190
597	1766	1187
598	1769	1184
599	1771	1181
600	1774	1177
601	1776	1174
602	1779	1171
603	1781	1168
604	1784	1164
605	1786	1161
606	1789	1158
607	1791	1155
608	1794	1151
609	1796	1148
610	1799	1145
611	1801	1142
612	1804	1139
613	1806	1135
614	1809	1132
615	1812	1129
616	1814	1126
617	1817	1123
618	1819	1120
619	1822	1116
620	1824	1113
621	1827	1110
622	1829	1107
623	1832	1103
624	1834	1100
625	1837	1097
626	1839	1094
627	1842	1091
628	1844	1088
629	1847	1084
630	1849	1081
631	1852	1078
632	1854	1075
633	1857	1072
634	1859	1069
635	1862	1065
636	1864	1062
637	1867	1059
638	1869	1056
639	1872	1053
640	1874	1050
641	1877	1046
642	1879	1043
643	1882	1040
644	1885	1037
645	1887	1034
646	1888	1030
647	1891	1027
648	1893	1024
649	1896	1021
650	1898	1017
651	1901	1014
652	1903	1011
653	1906	1008
654	1908	1005
655	1911	1002
656	1913	999
657	1916	996
658	1918	992
659	1921	989
660	1923	986
661	1926	983
662	1928	980
663	1931	977
664	1933	974
665	1936	971
666	1939	968
667	1942	965
668	1944	962
669	1947	959
670	1950	956
671	1952	953
672	1955	950
673	1958	947
674	1960	944
675	1963	941
676	1968	939
677	1971	936
678	1974	933
679	1976	930
680	1979	927
681	1982	924
682	1985	921
683	1987	918
684	1990	915
685	1992	912
686	1995	909
687	1998	906
688	2001	903
689	2004	900
690	2007	897
691	2009	894
692	2012	891
693	2015	888
694	2017	885
695	2020	882
696	2023	879
697	2026	876
698	2031	874
699	2033	871
700	2036	868
701	2039	865
702	2041	862
703	2045	859
704	2047	856
705	2050	853
706	2052	850
707	2055	847
708	2058	844
709	2061	841
710	2063	838
711	2067	836
712	2069	833
713	2072	830
714	2076	827
715	2078	824
716	2081	821
717	2083	818
718	2086	815
719	2089	812
720	2092	809
721	2095	806
722	2098	803
723	2101	801
724	2104	798
725	2106	795
726	2109	792
727	2112	789
728	2115	786
729	2117	783
730	2120	780
731	2122	777
732	2125	774
733	2128	771
734	2131	768
735	2133	765
736	2136	762
737	2139	759
738	2142	756
739	2145	753
740	2148	750
741	2150	747
742	2153	744
743	2156	741
744	2158	738
745	2162	736
746	2164	733
747	2167	730
748	2170	727
749	2172	724
750	2175	721
751	2178	718
752	2180	715
753	2183	712
754	2186	709
755	2189	706
756	2191	703
757	2194	700
758	2196	697
759	2200	694
760	2203	692
761	2206	689
762	2209	686
763	2212	683
764	2214	680
765	2217	677
766	2219	674
767	2222	671
768	2225	668
769	2228	665
770	2232	663
771	2235	660
772	2237	657
773	2240	654
774	2243	651
775	2245	648
776	2248	645
777	2251	642
778	2253	639
779	2256	636
780	2259	633
781	2262	630
782	2264	627
783	2267	624
784	2269	621
785	2272	618
786	2275	615
787	2278	612
788	2280	609
789	2283	606
790	2286	604
791	2288	601
792	2292	598
793	2295	595
794	2297	592
795	2300	589
796	2303	586
797	2306	583
798	2308	580
799	2311	577
800	2313	574
801	2316	571
802	2319	569
803	2322	566
804	2324	563
805	2327	560
806	2330	557
807	2333	554
808	2335	551
809	2338	548
810	2341	545
811	2344	542
812	2349	540
813	2351	537
814	2354	534
815	2356	531
816	2359	528
817	2362	525
818	2365	522
819	2368	519
820	2370	516
821	2373	513
822	2375	510
823	2378	507
824	2381	505
825	2383	502
826	2386	499
827	2388	496
828	2391	493
829	2394	490
830	2397	487
831	2399	484
832	2403	481
833	2405	478
834	2408	475
835	2411	473
836	2413	470
837	2416	467
838	2418	464
839	2421	461
840	2424	458
841	2427	455
842	2429	452
843	2432	449
844	2434	446
845	2437	443
846	2439	440
847	2442	437
848	2444	434
849	2447	431
850	2449	428
851	2452	425
852	2454	423
853	2457	420
854	2459	417
855	2462	414
856	2464	411
857	2467	408
858	2469	405
859	2472	402
860	2474	399
861	2478	396
862	2480	393
863	2483	390
864	2485	387
865	2488	385
866	2490	382
867	2493	379
868	2496	376
869	2499	373
870	2501	370
871	2504	367
872	2507	364
873	2509	361
874	2512	358
875	2515	356
876	2518	353
877	2521	350
878	2524	347
879	2527	344
880	2530	341
881	2533	338
882	2536	336
883	2538	333
884	2541	330
885	2543	327
886	2546	324
887	2548	321
888	2551	318
889	2553	315
890	2556	312
891	2558	309
892	2561	306
893	2563	303
894	2566	301
895	2568	298
896	2571	295
897	2573	292
898	2576	289
899	2579	286
900	2582	283
901	2584	280
902	2587	277
903	2589	275
904	2592	272
905	2594	269
906	2597	266
907	2600	263
908	2602	260
909	2605	257
910	2608	254
911	2610	251
912	2613	249
913	2616	246
914	2619	243
915	2621	240
916	2624	237
917	2626	234
918	2629	231
919	2632	228
920	2635	226
921	2637	223
922	2640	220
923	2643	217
924	2646	214
925	2648	211
926	2653	208
927	2655	206
928	2658	203
929	2661	200
930	2663	197
931	2666	194
932	2669	191
933	2671	188
934	2674	185
935	2677	183
936	2679	180
937	2682	177
938	2684	174
939	2687	171
940	2690	168
941	2692	165
942	2695	162
943	2698	160
944	2700	157
945	2703	154
946	2705	151
947	2708	148
948	2710	145
949	2713	142
950	2716	139
951	2719	137
952	2722	134
953	2726	131
954	2728	128
955	2731	125
956	2734	122
957	2737	119
958	2740	117
959	2742	114
960	2745	111
961	2747	108
962	2750	105
963	2752	102
964	2755	99
965	2758	97
966	2761	94
967	2763	91
968	2766	88
969	2769	85
970	2771	82
971	2774	79
972	2776	77
973	2779	74
974	2782	71
975	2785	68
976	2787	65
977	2790	62
978	2793	59
979	2795	57
980	2798	54
981	2801	51
982	2804	48
983	2806	45
984	2809	42
985	2811	39
986	2814	37
987	2818	34
988	2820	31
989	2823	28
990	2825	25
991	2828	22
992	2831	19
993	2834	17
994	2836	14
995	2839	11
996	2842	8
997	2844	5
998	2847	2
999	2850	0
